Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Animal Mints (CO2 Full Spectrum Syringe .5g),7193animalmintsSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,0,$260.00 ,140,Animal Mints (CO2 Full Spectrum Syringe .5g)
Blood Orange (Infused Distillate Luster Pod .84g),7251bloodorangeLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,120,$400.00 ,140,Blood Orange (Infused Distillate Luster Pod .84g)
Watermelon Myst (Infused Distillate 510 Cartridge .84g),7373watermyst510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,140,$400.00 ,140,Watermelon Myst (Infused Distillate 510 Cartridge .84g)
Strawberry Cough (Infused Distillate Luster Pod .84g),7579strawcoughLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,380,$400.00 ,140,Strawberry Cough (Infused Distillate Luster Pod .84g)
Skunky Jack (CO2 Full Spectrum Luster Pod .84g),7751skunkyjackLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,140,Skunky Jack (CO2 Full Spectrum Luster Pod .84g)
Blue Dream (Infused Distillate 510 Cartridge .84g),7729bluedream510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,380,$400.00 ,140,Blue Dream (Infused Distillate 510 Cartridge .84g)
Grape Cookies (CO2 Full Spectrum Luster Pod .84g),7796grapecookiesLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,120,$400.00 ,140,Grape Cookies (CO2 Full Spectrum Luster Pod .84g)
Jokerz (CO2 Full Spectrum 510 Cartridge .84g),7994jokerz510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,120,$400.00 ,140,Jokerz (CO2 Full Spectrum 510 Cartridge .84g)
Granddaddy Purple (Infused Distillate Luster Pod .84g),7389granddaddyLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,0,$400.00 ,120,Granddaddy Purple (Infused Distillate Luster Pod .84g)
Crescendo (CO2 Full Spectrum Luster Pod .84g),7014crescendoLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,320,$400.00 ,120,Crescendo (CO2 Full Spectrum Luster Pod .84g)
Lemon Drip (CO2 Full Spectrum Syringe .5g),7084lemondripSYR,Pure Ohio Wellness,Syringe (CO2 Full Spectrum),Medical,60,$260.00 ,120,Lemon Drip (CO2 Full Spectrum Syringe .5g)
White Gusherz (Infused Distillate 510 Cartridge .84g),7427whitegush510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,200,$400.00 ,120,White Gusherz (Infused Distillate 510 Cartridge .84g)
